,loss,accuracy,f2,auc,val_loss,val_accuracy,val_f2,val_auc,lr
0,0.03429117053747177,0.8892788290977478,0.17552435398101807,0.7258186340332031,0.030765652656555176,0.8758057355880737,0.15148034691810608,0.6924358606338501,1e-05
1,0.03413664549589157,0.8675069808959961,0.17082034051418304,0.7259643077850342,0.03222976252436638,0.8515255451202393,0.1698671281337738,0.6948448419570923,1e-05
2,0.0339740552008152,0.8474540114402771,0.18986499309539795,0.7295241951942444,0.03304053470492363,0.8379888534545898,0.1689065843820572,0.6938353180885315,1e-05
3,0.034048888832330704,0.833774983882904,0.18795187771320343,0.7264946699142456,0.03339940309524536,0.8328319787979126,0.17177501320838928,0.6927921772003174,1e-05
4,0.03390263020992279,0.831411600112915,0.18545784056186676,0.7277898788452148,0.0335024893283844,0.8317576050758362,0.17164911329746246,0.6922323703765869,1e-05
5,0.033923227339982986,0.8294779062271118,0.1780189871788025,0.7283428907394409,0.033654194325208664,0.8304684162139893,0.17621061205863953,0.6926369071006775,1e-05
6,0.03380565345287323,0.8267564177513123,0.18885084986686707,0.7317516803741455,0.033655278384685516,0.8317576050758362,0.17986412346363068,0.6929352283477783,1e-05
7,0.03378438949584961,0.8321277499198914,0.1895333081483841,0.7319068312644958,0.033800821751356125,0.8285346031188965,0.1784290075302124,0.6921643018722534,1e-05
8,0.03390637785196304,0.8258253931999207,0.18076486885547638,0.7270668745040894,0.03380582481622696,0.8285346031188965,0.17855672538280487,0.6927012205123901,1e-05
9,0.0339096374809742,0.8301224708557129,0.19249117374420166,0.7275848388671875,0.03395930677652359,0.826815664768219,0.17811767756938934,0.6927876472473145,1e-05
10,0.03394770622253418,0.8272577524185181,0.18419776856899261,0.7289673089981079,0.03399503231048584,0.8261710405349731,0.17763440310955048,0.6924648880958557,1e-05
11,0.03389478847384453,0.8237484693527222,0.18114697933197021,0.7314214110374451,0.03390173241496086,0.8293940424919128,0.17968855798244476,0.6924687623977661,1e-05
12,0.033815618604421616,0.8323426246643066,0.17780375480651855,0.7311936616897583,0.034017156809568405,0.8263859152793884,0.17821195721626282,0.6918859481811523,1e-05
13,0.033871959894895554,0.8221012949943542,0.19113130867481232,0.731214702129364,0.03401605412364006,0.8261710405349731,0.17807842791080475,0.6916030049324036,1e-05
14,0.03380011022090912,0.8262550830841064,0.19701792299747467,0.732435941696167,0.03398095443844795,0.8276751041412354,0.17921414971351624,0.6923103928565979,1e-05
15,0.033765509724617004,0.828403651714325,0.18932314217090607,0.7330978512763977,0.034071970731019974,0.8257412910461426,0.17829793691635132,0.6926315426826477,1e-05
16,0.03380136936903,0.8255389332771301,0.19526618719100952,0.7320976257324219,0.0340222604572773,0.8272453546524048,0.1789742261171341,0.6920610666275024,1e-05
17,0.033836282789707184,0.8258970379829407,0.18035458028316498,0.7307427525520325,0.03408026322722435,0.8255264163017273,0.17840346693992615,0.6925100088119507,1e-05
18,0.033843737095594406,0.8226025700569153,0.18391573429107666,0.7303094863891602,0.03401075303554535,0.826815664768219,0.17700079083442688,0.6923455595970154,1e-05
19,0.033860303461551666,0.8231039047241211,0.185801699757576,0.7338094711303711,0.03405318409204483,0.8257412910461426,0.17678125202655792,0.6926124095916748,1e-05
20,0.03390488028526306,0.8249659538269043,0.1944163292646408,0.7307096719741821,0.034062717109918594,0.8263859152793884,0.17678125202655792,0.6932059526443481,1e-05
21,0.03389707952737808,0.8237484693527222,0.18472148478031158,0.7293727397918701,0.034041907638311386,0.8255264163017273,0.17599983513355255,0.6931356191635132,1e-05
22,0.03382262587547302,0.8223161101341248,0.20075452327728271,0.7321871519088745,0.03394370898604393,0.8278899788856506,0.18073678016662598,0.6923035383224487,1e-05
23,0.03364843130111694,0.8231755495071411,0.18190257251262665,0.7359635829925537,0.03391082212328911,0.8281048536300659,0.17667338252067566,0.6918691396713257,1e-05
24,0.03386836126446724,0.824822723865509,0.1912258118391037,0.7297494411468506,0.03394665941596031,0.8278899788856506,0.18263936042785645,0.6924327611923218,1e-05
25,0.033864378929138184,0.8263983130455017,0.187347412109375,0.7290414571762085,0.03409099578857422,0.8255264163017273,0.18149016797542572,0.692071795463562,1e-05
26,0.03380095586180687,0.8251092433929443,0.18823106586933136,0.7347725629806519,0.03401341289281845,0.8272453546524048,0.18216371536254883,0.6915158629417419,1e-05
27,0.033703457564115524,0.81952303647995,0.19082413613796234,0.734636127948761,0.03395922854542732,0.8287494778633118,0.17784002423286438,0.6914752721786499,1e-05
28,0.03371012583374977,0.8255389332771301,0.1973170042037964,0.7346896529197693,0.03407251462340355,0.825311541557312,0.18134747445583344,0.6922140121459961,1e-05
29,0.033758390694856644,0.8253240585327148,0.18926078081130981,0.7325708866119385,0.03428517282009125,0.8229479789733887,0.18186698853969574,0.6903526782989502,1e-05
30,0.033679522573947906,0.8205256462097168,0.19733242690563202,0.7354120016098022,0.03420038893818855,0.8242372274398804,0.18115930259227753,0.6904680728912354,1e-05
31,0.03370091691613197,0.8220296502113342,0.19371406733989716,0.735297679901123,0.03402525559067726,0.8266007900238037,0.18180149793624878,0.6916519403457642,1e-05
32,0.0337933748960495,0.8270428776741028,0.18661841750144958,0.7327455282211304,0.0341559499502182,0.8250966668128967,0.18115930259227753,0.6909888982772827,1e-05
33,0.03371793404221535,0.8283320069313049,0.18834224343299866,0.7331520318984985,0.03429374098777771,0.8233777284622192,0.180720254778862,0.6910676956176758,1e-05
34,0.033661093562841415,0.815942108631134,0.1918487250804901,0.7368454933166504,0.03400452062487602,0.8281048536300659,0.1757144331932068,0.6911739706993103,1e-05
35,0.033757198601961136,0.8268996477127075,0.18378068506717682,0.7358825206756592,0.03404557332396507,0.8278899788856506,0.1779283583164215,0.6908183693885803,1e-05
36,0.033711932599544525,0.8261834979057312,0.19673441350460052,0.7328445911407471,0.03419922664761543,0.8248818516731262,0.1829383373260498,0.6900566816329956,1e-05
37,0.033670783042907715,0.8229606747627258,0.19365283846855164,0.7357754111289978,0.03402682766318321,0.8274602293968201,0.17412735521793365,0.6903946399688721,1e-05
38,0.033628642559051514,0.8255389332771301,0.19472359120845795,0.7364273071289062,0.03407351300120354,0.8263859152793884,0.18191353976726532,0.6902585625648499,1e-05
39,0.033747609704732895,0.824822723865509,0.1885494589805603,0.7333189845085144,0.0342591293156147,0.8244521021842957,0.18775483965873718,0.6897698640823364,1e-05
40,0.0337115116417408,0.8246794939041138,0.20222251117229462,0.7355555891990662,0.034368932247161865,0.8220885396003723,0.18674500286579132,0.6899274587631226,1e-05
41,0.03363139554858208,0.8203108310699463,0.19954447448253632,0.736310601234436,0.034319281578063965,0.823162853717804,0.18731577694416046,0.6896605491638184,1e-05
42,0.03369276225566864,0.8208121657371521,0.18361204862594604,0.7327962517738342,0.03423752263188362,0.8240223526954651,0.18281257152557373,0.6894134879112244,1e-05
43,0.03379295766353607,0.8252524733543396,0.18147490918636322,0.7319520711898804,0.03425484895706177,0.8242372274398804,0.18325163424015045,0.6893889904022217,1e-05
44,0.03368925675749779,0.8205256462097168,0.1787920743227005,0.7357132434844971,0.03418482840061188,0.8257412910461426,0.18361669778823853,0.6890976428985596,1e-05
45,0.03362216055393219,0.8256105184555054,0.1900615096092224,0.7381482124328613,0.03424728661775589,0.8233777284622192,0.1830349564552307,0.6908137798309326,1e-05
46,0.03380206599831581,0.8221728801727295,0.19252881407737732,0.7321901321411133,0.034185703843832016,0.8255264163017273,0.1811112016439438,0.6893860101699829,1e-05
47,0.03364083915948868,0.8264699578285217,0.20137068629264832,0.7366670370101929,0.03429194539785385,0.821873664855957,0.1800864040851593,0.6899067759513855,1e-05
48,0.03372883051633835,0.81952303647995,0.19397607445716858,0.7336729764938354,0.0342547632753849,0.8229479789733887,0.18295526504516602,0.6894547939300537,1e-05
49,0.033610060811042786,0.824249804019928,0.20162998139858246,0.736836314201355,0.03407955914735794,0.8272453546524048,0.1765301674604416,0.6901499629020691,1e-05
50,0.03367966413497925,0.8203108310699463,0.19178315997123718,0.7354118227958679,0.0339997336268425,0.8274602293968201,0.17119021713733673,0.6892582774162292,1e-05
51,0.033583950251340866,0.8282604217529297,0.18657070398330688,0.7391312718391418,0.03425329923629761,0.8225182890892029,0.1798485964536667,0.6891037821769714,1e-05
52,0.03373358026146889,0.8186635971069336,0.18791107833385468,0.7334452271461487,0.03408864140510559,0.826815664768219,0.17640700936317444,0.6896628141403198,1e-05
53,0.03347873315215111,0.8278306722640991,0.1954764425754547,0.7411243915557861,0.03420697897672653,0.8220885396003723,0.1798485964536667,0.6900604963302612,1e-05
54,0.03358711674809456,0.8191649317741394,0.19172732532024384,0.7367871403694153,0.03428056836128235,0.821873664855957,0.1798485964536667,0.6889485120773315,1e-05
55,0.03351021185517311,0.8223877549171448,0.1922944039106369,0.7403953075408936,0.03427600488066673,0.8223034143447876,0.18248578906059265,0.6892766356468201,1e-05
56,0.03354745730757713,0.8263267278671265,0.2068118453025818,0.7379341125488281,0.034242503345012665,0.821873664855957,0.18248578906059265,0.6890571117401123,1e-05
57,0.03361921384930611,0.8237484693527222,0.18646849691867828,0.7380613088607788,0.034356843680143356,0.8201547265052795,0.18149806559085846,0.69102942943573,1e-05
58,0.03356986120343208,0.8271145224571228,0.1912163943052292,0.7380862236022949,0.03445091098546982,0.8192952275276184,0.18718507885932922,0.6924648284912109,1e-05
59,0.03352061286568642,0.8185203671455383,0.19801968336105347,0.7410696148872375,0.034402038902044296,0.8201547265052795,0.18149806559085846,0.6900337934494019,1e-05
60,0.033560167998075485,0.8221728801727295,0.19195321202278137,0.7386265993118286,0.03428403660655022,0.8210141658782959,0.17953726649284363,0.6898249387741089,1e-05
61,0.03363166004419327,0.8176609873771667,0.188058540225029,0.7366636395454407,0.034210190176963806,0.8227331042289734,0.17953726649284363,0.6896949410438538,1e-05
62,0.033531639724969864,0.8272577524185181,0.19334344565868378,0.7395797967910767,0.03435163199901581,0.8207992911338806,0.17953726649284363,0.6890502572059631,1e-05
63,0.03365181386470795,0.8260402679443359,0.18650442361831665,0.737908124923706,0.03453724458813667,0.8177911639213562,0.18541020154953003,0.6909835338592529,1e-05
64,0.03360569104552269,0.8199527263641357,0.19518952071666718,0.7354214191436768,0.03444204479455948,0.8192952275276184,0.1856669783592224,0.6905056238174438,1e-05
65,0.03346394747495651,0.8216715455055237,0.19619785249233246,0.7434766292572021,0.03413365036249161,0.8240223526954651,0.18007096648216248,0.6893492937088013,1e-05
66,0.03361935541033745,0.8209553956985474,0.19988110661506653,0.7377970218658447,0.034345123916864395,0.8195101022720337,0.17919370532035828,0.691249668598175,1e-05
67,0.033560860902071,0.8227458000183105,0.19387929141521454,0.7407200336456299,0.034256018698215485,0.8207992911338806,0.17975963652133942,0.6900956630706787,1e-05
68,0.03355647623538971,0.8209553956985474,0.1919701248407364,0.7384400367736816,0.03430379927158356,0.8201547265052795,0.1842258870601654,0.6908444166183472,1e-05
69,0.03360878303647041,0.8203108310699463,0.19447489082813263,0.735002875328064,0.03423226624727249,0.8216587901115417,0.18007096648216248,0.6890884637832642,1e-05
